ref_id,TC_1,TC_2,TC_3
CoV|QHQ82463.43.BC1,7548,11559,10460
CoV|QHQ82463.44.BC1,14365,10784,14231
CoV|QHQ82463.45.BC1,25614,25822,31880
CoV|QHQ82463.46.BC1,20860,18044,14118
CoV|QHQ82463.47.BC1,21112,22783,20347
CoV|QHQ82463.48.BC1,19509,21169,30032
CoV|QHQ82463.49.BC1,5316,7228,2994
CoV|QHQ82463.50.BC1,7848,8173,8204
CoV|QHQ82463.51.BC1,65521,54040,64201
CoV|QHQ82463.52.BC1,22312,24581,23629
CoV|QHQ82463.53.BC1,16553,16663,19394
CoV|QHQ82463.54.BC1,25376,24862,25540
CoV|QHQ82463.55.BC1,20292,16908,23236
CoV|QHQ82463.56.BC1,35793,36308,34795
CoV|QHQ82463.57.BC1,21689,16985,22746
CoV|QHQ82463.58.BC1,9847,10870,9256
CoV|QHQ82463.59.BC1,20016,18714,24010
CoV|QHQ82463.60.BC1,326,1769,892
CoV|QHQ82463.61.BC1,8228,5843,9234
CoV|QHQ82463.62.BC1,32724,30891,38028
CoV|QHQ82463.63.BC1,20619,24116,23234
CoV|QHQ82463.64.BC1,23962,25050,28816
CoV|QHQ82463.65.BC1,27656,20594,24716
CoV|QHQ82463.66.BC1,15392,20997,14770
CoV|QHQ82463.67.BC1,29745,43723,52613
CoV|QHQ82463.68.BC1,27267,27084,22951
CoV|QHQ82463.69.BC1,31687,29662,26090
CoV|QHQ82463.70.BC1,30412,26981,21448
CoV|QHQ82463.71.BC1,28093,30166,32375
CoV|QHQ82463.72.BC1,28349,30673,34927
CoV|QHQ82463.73.BC1,23495,23254,28569
CoV|QHQ82463.74.BC1,49220,42816,48382
CoV|QHQ82463.75.BC1,24039,21356,30642
CoV|QHQ82463.76.BC1,28253,29874,36768
CoV|QHQ82463.77.BC1,17686,21799,32625
CoV|QHQ82463.78.BC1,3245,3000,5686
CoV|QHQ82463.79.BC1,19411,26852,23910
CoV|QHQ82463.80.BC1,27495,16880,26886
CoV|QHQ82463.81.BC1,8968,7742,11327
CoV|QHQ82463.82.BC1,15560,23569,26996
CoV|QHQ82463.83.BC1,36882,43259,50557
CoV|QHQ82463.84.BC1,15106,18544,35680
CoV|QHQ82463.85.BC1,22658,24608,16164
CoV|QHQ82463.86.BC1,21053,21192,29352
CoV|QHQ82463.87.BC1,55428,58314,65530
CoV|QHQ82463.88.BC1,14175,21721,22543
CoV|QHQ82463.89.BC1,28984,21266,23890
CoV|QHQ82463.90.BC1,30579,32124,30449
CoV|QHQ82463.91.BC1,7539,9076,10274
CoV|QHQ82463.92.BC1,17653,16246,12429
CoV|QHQ82463.93.BC1,44057,40180,43326
CoV|QHQ82463.94.BC1,37228,27895,41834
CoV|QHQ82463.95.BC1,33838,31932,46003
CoV|QHQ82463.96.BC1,24538,21069,29177
CoV|QHQ82463.97.BC1,12458,10957,14011
CoV|QHQ82463.98.BC1,31742,24850,33434
CoV|QHQ82463.99.BC1,35423,39530,37686
CoV|QHQ82463.100.BC1,36951,26404,36059
CoV|QHQ82463.101.BC1,12136,13271,9698
CoV|QHQ82463.102.BC1,11155,14683,12262
CoV|QHQ82463.103.BC1,2528,1040,2560
CoV|QHQ82463.104.BC1,56938,46855,57187
CoV|QHQ82463.105.BC1,10029,10450,11057
CoV|QHQ82463.106.BC1,44703,45240,50983
CoV|QHQ82463.107.BC1,18629,19225,25815
CoV|QHQ82463.108.BC1,3699,3034,2477
CoV|QHQ82463.109.BC1,61759,59644,68176
CoV|QHQ82463.110.BC1,10133,13232,9989
CoV|QHQ82463.111.BC1,21416,18784,25335
CoV|QHQ82463.112.BC1,5631,9584,9911
CoV|QHQ82463.113.BC1,18354,13233,21950
CoV|QHQ82463.114.BC1,20410,23740,26827
CoV|QHQ82463.115.BC1,36772,25596,37282
CoV|QHQ82463.116.BC1,17363,19945,15799
CoV|QHQ82463.117.BC1,23647,31960,33163
CoV|QHQ82463.118.BC1,26614,22371,28258
CoV|QHQ82463.119.BC1,36419,38778,40563
CoV|QHQ82463.120.BC1,28935,37872,38777
CoV|QHQ82463.121.BC1,13830,16892,18740
CoV|QHQ82463.122.BC1,11058,9638,12192
CoV|QHQ82463.123.BC1,11021,12126,12531
CoV|QHQ82463.124.BC1,17226,21299,13075
CoV|QHQ82463.125.BC1,49372,35456,43527
CoV|QHQ82463.126.BC1,17176,24746,25137
CoV|QHQ82463.127.BC1,26946,24626,24890
CoV|QHQ82463.128.BC1,2027,3682,2974
CoV|QHQ82463.129.BC1,114958,111908,145149
CoV|QHQ82463.130.BC1,31297,25495,26273
CoV|QHQ82463.131.BC1,32505,35977,40847
CoV|QHQ82463.132.BC1,19253,15315,20299
CoV|QHQ82463.133.BC1,34193,28589,36439
CoV|QHQ82463.134.BC1,61641,61188,71616
CoV|QHQ82463.135.BC1,25281,23468,30471
CoV|QHQ82463.136.BC1,14986,11499,15055
CoV|QHQ82463.137.BC1,10171,10416,12756
CoV|QHQ82463.138.BC1,7752,8005,7921
CoV|QHQ82463.139.BC1,6380,7445,14658
CoV|QHQ82463.140.BC1,34545,32706,27281
CoV|QHQ82463.141.BC1,16167,17995,23346
CoV|QHQ82463.142.BC1,25518,30018,35344
CoV|QHQ82463.143.BC1,25321,26849,26188
CoV|QHQ82463.144.BC1,20467,23400,20792
CoV|QHQ82463.145.BC1,7119,7733,8735
CoV|QHQ82463.146.BC1,24333,24108,30977
CoV|QHQ82463.147.BC1,50196,55093,63412
CoV|QHQ82463.148.BC1,15917,16253,13815
CoV|QHQ82463.149.BC1,23291,16506,19522
CoV|QHQ82463.150.BC1,14850,12828,14612
CoV|QHQ82463.151.BC1,19241,19844,19736
CoV|QHQ82463.152.BC1,16073,23691,25881
CoV|QHQ82463.153.BC1,28917,21639,36305
CoV|QHQ82463.154.BC1,15401,15617,13520
CoV|QHQ82463.155.BC1,54106,48262,59120
CoV|QHQ82463.156.BC1,50334,56527,57932
CoV|QHQ82463.157.BC1,24692,24270,21668
CoV|QHQ82463.158.BC1,12666,11964,15184
CoV|QHQ82463.159.BC1,22739,26244,23314
CoV|QHQ82463.160.BC1,48385,60762,68406
CoV|QHQ82463.161.BC1,13036,10548,16389
CoV|QHQ82463.162.BC1,33666,31107,36134
CoV|QHQ82463.163.BC1,19245,16176,19273
CoV|QHQ82463.164.BC1,30231,30437,28941
CoV|QHQ82463.165.BC1,26986,18294,24019
CoV|QHQ82463.166.BC1,29554,30452,38084
CoV|QHQ82463.167.BC1,21000,19319,28371
CoV|QHQ82463.168.BC1,20217,27290,24792
CoV|QHQ82463.169.BC1,49722,41629,46864
CoV|QHQ82463.170.BC1,29540,27218,25921
CoV|QHQ82463.171.BC1,31386,25942,26456
CoV|QHQ82463.172.BC1,8014,12648,12258
CoV|QHQ82463.173.BC1,12323,13231,15595
CoV|QHQ82463.174.BC1,33810,32427,35810
CoV|QHQ82463.175.BC1,45911,37016,51644
CoV|QHQ82463.176.BC1,15862,21686,18620
CoV|QHQ82463.177.BC1,13064,11221,12409
CoV|QHQ82463.178.BC1,18363,28343,23162
